n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
150,25,0.8257142857142858,0.008345229603962816,0.8234504366482872,0.008879479950523413,0.8257142857142858,0.00834522960396281,0.8226344132807952,0.00882289178431911
200,25,0.8271428571428572,0.009168212609281043,0.8247969742896555,0.009711791392019407,0.8271428571428572,0.00916821260928101,0.8240235181404737,0.009659185822323118
250,25,0.8260714285714286,0.012530574852034881,0.8237696201231293,0.013025747653955944,0.8260714285714286,0.012530574852034881,0.8231068879330106,0.012996188326959606
300,25,0.8280357142857143,0.010626125390579895,0.826030315378136,0.011073819896510902,0.8280357142857143,0.010626125390579883,0.8252840923874489,0.0110313596281512
350,25,0.8291071428571428,0.01047500669718748,0.826887200098707,0.010838482599536603,0.8291071428571429,0.010475006697187485,0.8263691652453303,0.01086744441358417
400,25,0.8291071428571429,0.010321675726156025,0.8269347025715291,0.010545838747512203,0.8291071428571429,0.010321675726155997,0.8263357331764905,0.010755935028882566
450,25,0.8282142857142857,0.009202927661946528,0.8260371068960974,0.009687022782840213,0.8282142857142857,0.009202927661946535,0.8254656293259265,0.009526645296567125
500,25,0.8275,0.008608550566567121,0.8251608738846272,0.008996591443892286,0.8275,0.008608550566567131,0.824725150179947,0.008798535873679332
5,70,0.7648214285714287,0.016866258128740545,0.7645931478466303,0.017210712904157835,0.7648214285714287,0.01686625812874052,0.763410156427477,0.01698203067059915
10,70,0.7898214285714286,0.012628169434455102,0.7874427449807427,0.014185023400222374,0.7898214285714286,0.012628169434455095,0.7869708177604768,0.014034663341619052
25,70,0.8169642857142858,0.01475242110880206,0.8142438485700929,0.0159189571381248,0.8169642857142858,0.014752421108802054,0.8142811292371702,0.015739154322842338
50,70,0.8210714285714286,0.012545834335893059,0.8185754929664055,0.01335220595654154,0.8210714285714286,0.012545834335893057,0.8181533651561356,0.013104411123725512
75,70,0.825357142857143,0.01131641394125347,0.8230889486474403,0.011414961868247812,0.825357142857143,0.011316413941253484,0.8225238729099154,0.011524287990217633
100,70,0.8232142857142858,0.011572751247156891,0.8208059764767958,0.0126414574105725,0.8232142857142858,0.011572751247156924,0.8202485292622692,0.012408048542548194
150,70,0.8257142857142858,0.01146756739857309,0.8239195070818386,0.012532347510627788,0.8257142857142856,0.011467567398573096,0.8229669757924263,0.01208592268013411
200,70,0.8269642857142857,0.01207042472580085,0.8249721035381341,0.013028585214587158,0.8269642857142857,0.012070424725800817,0.8240149092973692,0.012748004575910382
250,70,0.8266071428571429,0.010426186126425008,0.8243814708292648,0.011227998852398564,0.8266071428571429,0.010426186126424977,0.8236768876992308,0.011059506126974117
300,70,0.8292857142857143,0.011042589166957367,0.8271350271187915,0.011803225728318595,0.8292857142857143,0.011042589166957373,0.8264732667613541,0.011586378560629017
350,70,0.8300000000000001,0.011893447003819075,0.8280432012620349,0.012416627402284917,0.8299999999999998,0.01189344700381908,0.8272591206620149,0.012368859441947749
400,70,0.8280357142857143,0.011601647050557704,0.8258072665983647,0.012184008373179988,0.8280357142857143,0.011601647050557691,0.8251835616028277,0.01203248882500786
450,70,0.8305357142857142,0.010697904143392977,0.8283581892571604,0.011052213285314891,0.8305357142857144,0.01069790414339297,0.8278009442214966,0.011096434187072129
500,70,0.82875,0.00912113770651582,0.8263592060015835,0.009359403960592509,0.82875,0.009121137706515797,0.8260099920805704,0.009525886148798705
