n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
100,10,0.8292857142857143,0.011550686877711594,0.8274413548264856,0.012033984274067735,0.8292857142857143,0.011550686877711613,0.8267896998454415,0.01160219442013875
150,10,0.8301785714285715,0.01301122945139062,0.828462848832973,0.013644630670518373,0.8301785714285715,0.013011229451390617,0.8278193372484534,0.01324371902990256
200,10,0.8305357142857144,0.013979987518607039,0.8286903347363499,0.014859404074163982,0.8305357142857142,0.013979987518607026,0.8280788924100617,0.014243020868110856
250,10,0.83125,0.012582635021394865,0.8293865680452605,0.013581810379264314,0.83125,0.01258263502139487,0.8288592682297565,0.012923377367699081
300,10,0.8308928571428572,0.01285342208066293,0.8289481221075722,0.013813994640315092,0.8308928571428572,0.012853422080662927,0.8284819348878143,0.013206236623544382
5,25,0.8008928571428571,0.015094303899288694,0.7983742776157285,0.016511278832691455,0.8008928571428571,0.015094303899288668,0.7976716725947842,0.016048397991562185
10,25,0.8087500000000001,0.013035714285714288,0.806615021949697,0.013586893906959451,0.8087500000000001,0.013035714285714265,0.8058011468036232,0.013455493689526565
25,25,0.8242857142857142,0.013367833765866356,0.8225201205520802,0.01322579387931194,0.8242857142857144,0.013367833765866395,0.8216956522296105,0.013358863218441892
50,25,0.8280357142857142,0.011124584376551807,0.8264184931183893,0.011124197622386383,0.8280357142857143,0.011124584376551807,0.8255163589826632,0.011011479130712988
75,25,0.8308928571428572,0.011683812716396853,0.8290183756773339,0.01205451125113963,0.8308928571428572,0.011683812716396845,0.8283951842525543,0.012005827500999199
100,25,0.8330357142857142,0.012633218682731422,0.8311895529635587,0.013242663095034196,0.8330357142857142,0.012633218682731406,0.8306467479171633,0.012903257450415477
150,25,0.8317857142857144,0.012000212583151029,0.829757350441023,0.012259896123551672,0.8317857142857144,0.012000212583151029,0.8293806481806634,0.012096547083879458
200,25,0.8314285714285715,0.012010836943428742,0.8293298482944133,0.011719966441913946,0.8314285714285715,0.01201083694342874,0.8289829406733474,0.011869017963836942
250,25,0.8303571428571429,0.01103681224311603,0.828425637848121,0.011015641666473178,0.8303571428571429,0.011036812243116026,0.8279472753951419,0.011027110264369689
300,25,0.8319642857142858,0.011136044162620621,0.8300239119905795,0.010990722083520301,0.8319642857142858,0.011136044162620602,0.8296003586914887,0.011145510882204557
5,50,0.8001785714285713,0.0140027785143681,0.7976327615407083,0.015034100674277783,0.8001785714285715,0.014002778514368135,0.7969967358525183,0.01482693481090386
10,50,0.8151785714285713,0.013152607020228784,0.8131036206668021,0.01376847637426127,0.8151785714285713,0.013152607020228788,0.8123176676783779,0.013623090468593137
25,50,0.8255357142857143,0.011711073165763999,0.8236529545915328,0.01205725624945183,0.8255357142857143,0.011711073165764002,0.8227571449753454,0.011897717636664407
50,50,0.8269642857142857,0.009497918676408723,0.82512353218042,0.009921390763167053,0.8269642857142859,0.009497918676408715,0.824400000098825,0.009720350203595875
75,50,0.8282142857142858,0.011594773629105663,0.8263067830333222,0.01245050596520565,0.8282142857142858,0.01159477362910567,0.8257266343953432,0.012033915828121815
100,50,0.8280357142857143,0.01000796876371576,0.8260734255776164,0.010861305808926363,0.8280357142857143,0.01000796876371575,0.8254809220519188,0.010427047831019902
150,50,0.8303571428571429,0.01118033988749895,0.828368931785057,0.012147368767641501,0.8303571428571429,0.011180339887498947,0.8278767479256113,0.011602358992010665
200,50,0.8294642857142858,0.009788907195475543,0.8276030391060415,0.010443946605547753,0.8294642857142858,0.009788907195475496,0.8271030377328623,0.010154919740554835
250,50,0.8296428571428571,0.00925130989070617,0.8276977254760659,0.009555111748858184,0.8296428571428571,0.009251309890706131,0.8272958779308446,0.009368619620581912
300,50,0.8310714285714287,0.010044543650303741,0.8291054444534618,0.010496004938250581,0.8310714285714287,0.010044543650303734,0.82877150396414,0.01021765387257439
