k,model,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
30,gradient_boosting,0.7758928571428572,0.017718209530863786,0.7739748712759937,0.017700084516392347,0.7758928571428572,0.01771820953086375,0.7719996494709855,0.018039976476150788
30,xgboost,0.8235714285714286,0.009442360047430213,0.8216362434989011,0.009909595995824074,0.8235714285714286,0.009442360047430222,0.8208380315585606,0.009691003751554383
40,naive_bayes,0.4887499999999999,0.017332470707210963,0.6352662483994191,0.019821086075613947,0.4887499999999999,0.01733247070721096,0.40936353188871905,0.019892644783220864
40,knn,0.7330357142857142,0.0179861412067793,0.7278964719082095,0.01857944798009832,0.7330357142857143,0.017986141206779285,0.7278716197966268,0.01865626850108972
40,decision_tree,0.7358928571428571,0.007963965400349217,0.734291997859357,0.008564136385035736,0.7358928571428571,0.007963965400349205,0.7341433034744707,0.008215406991764762
40,random_forest,0.8237499999999999,0.006964285714285723,0.8216573623517396,0.006762326021665018,0.8237500000000001,0.006964285714285696,0.8208131463569316,0.006937925191368701
40,gradient_boosting,0.7823214285714287,0.016798057771598447,0.7801938632823954,0.017836077143202463,0.7823214285714285,0.016798057771598488,0.7784281226130041,0.017608686411947648
40,xgboost,0.8232142857142858,0.011818137219838777,0.8211552074678847,0.012181393839310911,0.8232142857142858,0.011818137219838766,0.8206681191510677,0.011923060877520947
54,naive_bayes,0.45214285714285724,0.024585855399279596,0.4594321743189065,0.07677164243255236,0.4521428571428571,0.024585855399279582,0.3748390382104516,0.03250109518213167
54,knn,0.7333928571428572,0.018814514859218555,0.7279275255481834,0.019904968372049584,0.7333928571428572,0.018814514859218524,0.7279644197073972,0.019858914770716888
54,decision_tree,0.7355357142857142,0.012688627802493224,0.734071977320552,0.014171548080033899,0.7355357142857142,0.012688627802493212,0.733887032651142,0.013185511903122966
54,random_forest,0.8205357142857143,0.012222689256176854,0.8185087644676955,0.01248561278663256,0.8205357142857143,0.01222268925617688,0.8175393761542512,0.012173534632931662
54,gradient_boosting,0.7792857142857144,0.015775044875255554,0.7772062042449207,0.016091757497799418,0.7792857142857144,0.015775044875255557,0.774875106454158,0.015839433677494453
54,xgboost,0.8271428571428572,0.012289036095775186,0.8255614343942064,0.012582314977351823,0.8271428571428572,0.012289036095775209,0.8247079004237271,0.012233985394169271
