n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
75,10,0.8065079365079365,0.07102957343489512,0.8359083530956699,0.06012878476749975,0.9301388888888888,0.05681234678231115,0.4333333333333333,0.22949219304078006,0.8787973700565871,0.04396491957454356,0.7885740740740741,0.09959086572060424
100,10,0.8082539682539682,0.07586836673011212,0.8357064778390073,0.05891853334600951,0.9325000000000001,0.06231206311683593,0.4333333333333333,0.22558565754251508,0.8798401402651047,0.04776710615895285,0.7921203703703703,0.09738095023386215
150,10,0.8015873015873017,0.06781884187805795,0.8297761191712585,0.057630569075245566,0.9325000000000001,0.0615144517798686,0.4066666666666666,0.22793761329705015,0.8761637142108858,0.04254758294834141,0.7907407407407409,0.09644959308098179
200,10,0.8049206349206349,0.06641562711682575,0.832151787775605,0.051790639074287464,0.9325000000000001,0.06464587771987353,0.42000000000000004,0.20450482200237288,0.8776739099629461,0.04248221566517352,0.7919074074074073,0.09607181991415932
250,10,0.8048412698412699,0.0673523412249398,0.833820140785215,0.054469215664739536,0.9302777777777778,0.06419552020830438,0.42666666666666675,0.21540659228538012,0.8774730616071317,0.042875986187716486,0.7889351851851851,0.09762125562988042
300,10,0.8064285714285715,0.0641095469770723,0.8354036581899535,0.053373772261803135,0.9301388888888888,0.059362774894793094,0.4333333333333334,0.2113448997886314,0.878446920222743,0.040292780372574305,0.7914259259259259,0.09704050212925498
5,25,0.807936507936508,0.0489380807968458,0.8288630941274583,0.04652356108454103,0.9430555555555555,0.03716932393756051,0.4,0.19321835661585918,0.8810951705292215,0.028491407602289385,0.7670185185185185,0.09528969799096793
10,25,0.8096031746031747,0.05631392814749615,0.833077373275583,0.05627824336807215,0.9408333333333333,0.042017963530605086,0.4133333333333334,0.22666666666666668,0.8819650372257678,0.03270632361520636,0.7825462962962962,0.10497925239200666
25,25,0.8064285714285715,0.06323703742660887,0.832377044042009,0.05843960596586358,0.9366666666666668,0.04970282054743343,0.4133333333333333,0.23247461032216923,0.8796668526192363,0.03822014330905962,0.7858425925925926,0.09992614256421621
50,25,0.8063492063492065,0.0605779671024171,0.8319799651126601,0.0555601717089829,0.9365277777777777,0.049433714503662685,0.4133333333333334,0.22070593809662464,0.8794942678478375,0.036554592703526886,0.7869907407407408,0.0999002867918676
75,25,0.8065079365079365,0.07102957343489512,0.8359083530956699,0.06012878476749975,0.9301388888888888,0.05681234678231115,0.4333333333333333,0.22949219304078006,0.8787973700565871,0.04396491957454356,0.7885740740740741,0.09959086572060424
100,25,0.8082539682539682,0.07586836673011212,0.8357064778390073,0.05891853334600951,0.9325000000000001,0.06231206311683593,0.4333333333333333,0.22558565754251508,0.8798401402651047,0.04776710615895285,0.7921203703703703,0.09738095023386215
150,25,0.8015873015873017,0.06781884187805795,0.8297761191712585,0.057630569075245566,0.9325000000000001,0.0615144517798686,0.4066666666666666,0.22793761329705015,0.8761637142108858,0.04254758294834141,0.7907407407407409,0.09644959308098179
200,25,0.8049206349206349,0.06641562711682575,0.832151787775605,0.051790639074287464,0.9325000000000001,0.06464587771987353,0.42000000000000004,0.20450482200237288,0.8776739099629461,0.04248221566517352,0.7919074074074073,0.09607181991415932
250,25,0.8048412698412699,0.0673523412249398,0.833820140785215,0.054469215664739536,0.9302777777777778,0.06419552020830438,0.42666666666666675,0.21540659228538012,0.8774730616071317,0.042875986187716486,0.7889351851851851,0.09762125562988042
300,25,0.8064285714285715,0.0641095469770723,0.8354036581899535,0.053373772261803135,0.9301388888888888,0.059362774894793094,0.4333333333333334,0.2113448997886314,0.878446920222743,0.040292780372574305,0.7914259259259259,0.09704050212925498
5,50,0.807936507936508,0.0489380807968458,0.8288630941274583,0.04652356108454103,0.9430555555555555,0.03716932393756051,0.4,0.19321835661585918,0.8810951705292215,0.028491407602289385,0.7670185185185185,0.09528969799096793
10,50,0.8096031746031747,0.05631392814749615,0.833077373275583,0.05627824336807215,0.9408333333333333,0.042017963530605086,0.4133333333333334,0.22666666666666668,0.8819650372257678,0.03270632361520636,0.7825462962962962,0.10497925239200666
25,50,0.8064285714285715,0.06323703742660887,0.832377044042009,0.05843960596586358,0.9366666666666668,0.04970282054743343,0.4133333333333333,0.23247461032216923,0.8796668526192363,0.03822014330905962,0.7858425925925926,0.09992614256421621
50,50,0.8063492063492065,0.0605779671024171,0.8319799651126601,0.0555601717089829,0.9365277777777777,0.049433714503662685,0.4133333333333334,0.22070593809662464,0.8794942678478375,0.036554592703526886,0.7869907407407408,0.0999002867918676
75,50,0.8065079365079365,0.07102957343489512,0.8359083530956699,0.06012878476749975,0.9301388888888888,0.05681234678231115,0.4333333333333333,0.22949219304078006,0.8787973700565871,0.04396491957454356,0.7885740740740741,0.09959086572060424
100,50,0.8082539682539682,0.07586836673011212,0.8357064778390073,0.05891853334600951,0.9325000000000001,0.06231206311683593,0.4333333333333333,0.22558565754251508,0.8798401402651047,0.04776710615895285,0.7921203703703703,0.09738095023386215
150,50,0.8015873015873017,0.06781884187805795,0.8297761191712585,0.057630569075245566,0.9325000000000001,0.0615144517798686,0.4066666666666666,0.22793761329705015,0.8761637142108858,0.04254758294834141,0.7907407407407409,0.09644959308098179
200,50,0.8049206349206349,0.06641562711682575,0.832151787775605,0.051790639074287464,0.9325000000000001,0.06464587771987353,0.42000000000000004,0.20450482200237288,0.8776739099629461,0.04248221566517352,0.7919074074074073,0.09607181991415932
250,50,0.8048412698412699,0.0673523412249398,0.833820140785215,0.054469215664739536,0.9302777777777778,0.06419552020830438,0.42666666666666675,0.21540659228538012,0.8774730616071317,0.042875986187716486,0.7889351851851851,0.09762125562988042
300,50,0.8064285714285715,0.0641095469770723,0.8354036581899535,0.053373772261803135,0.9301388888888888,0.059362774894793094,0.4333333333333334,0.2113448997886314,0.878446920222743,0.040292780372574305,0.7914259259259259,0.09704050212925498
