k,model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
5,gradient_boosting,0.7895238095238095,0.05945901235018848,0.8262100506317896,0.04346371462795362,0.9143055555555556,0.04986884805339742,0.4133333333333334,0.16275407487644936,0.8671311235714849,0.03694886835278092,0.7583425925925926,0.13182897774172408
5,xgboost,0.7795238095238096,0.056305370832457,0.8260915497581907,0.03593521239374422,0.89625,0.05879463762606456,0.42666666666666664,0.12719189352225943,0.8587703699623678,0.03725992728168674,0.7503981481481482,0.11615062274444841
6,naive_bayes,0.788015873015873,0.07553325167661946,0.8481420382381497,0.06288276209356862,0.8836111111111112,0.1034173045911026,0.4999999999999999,0.24083189157584592,0.8602736862274801,0.05737317334401386,0.8068333333333333,0.09193904351747462
6,knn,0.7814285714285714,0.05916846313263897,0.819428898214173,0.04190787102235745,0.9122222222222222,0.04980207740225548,0.38666666666666666,0.16812693617224655,0.8624788066823912,0.03690668405648573,0.7060324074074075,0.13107126612914904
6,decision_tree,0.7065873015873017,0.04610837901367092,0.8084446551745348,0.03786933532489951,0.8018055555555558,0.05883399564205951,0.42000000000000004,0.1367885635245546,0.8034603037464961,0.0332163495301456,0.6109027777777778,0.06510026840180964
6,random_forest,0.7847619047619048,0.062380952380952384,0.8222701531262351,0.040611480744395884,0.9123611111111112,0.06152777777777778,0.4,0.15202339001321838,0.8638922561862467,0.04032214460989402,0.7531481481481481,0.12172032189691502
6,gradient_boosting,0.778015873015873,0.06393599761779917,0.8183259441364324,0.043962123468767794,0.9076388888888889,0.05320459723244476,0.38666666666666666,0.15999999999999998,0.8599190650124914,0.04054617709363343,0.7429814814814815,0.12421441620607344
6,xgboost,0.7614285714285713,0.06211320219262017,0.8186939582233119,0.04147392430962274,0.8788888888888889,0.06600598551235175,0.40666666666666673,0.15333333333333332,0.846331099628606,0.04176605330699406,0.7310462962962964,0.12937158211359012
7,naive_bayes,0.7631746031746031,0.07570629886995234,0.8496558775218797,0.06661679883147889,0.8416666666666668,0.10301773789492592,0.5266666666666666,0.2448582356294261,0.8402131503519537,0.057423867494419537,0.8035185185185185,0.09309393901582146
7,knn,0.7746031746031745,0.06567286479260692,0.8133702219203739,0.041317487932253746,0.9097222222222221,0.053334056708057284,0.3666666666666667,0.15563490039905004,0.8583013246534748,0.04171320692114003,0.7029351851851853,0.14981005377455198
7,decision_tree,0.7248412698412698,0.06641491581778826,0.8134575545130158,0.04293965859521462,0.8237500000000001,0.06967309579585064,0.42666666666666664,0.1436043948569201,0.8172401182015475,0.046378022995446,0.6252083333333334,0.08317580597189347
7,random_forest,0.7979365079365079,0.05383410030132585,0.828756643127843,0.03501868442891583,0.9231944444444444,0.058630361504287666,0.42000000000000004,0.13012814197295425,0.8723884026732968,0.03504439258467007,0.7598148148148148,0.1297000073505069
7,gradient_boosting,0.7797619047619048,0.06804901861335226,0.8197196823678139,0.04360577967134339,0.9076388888888889,0.060988671534601864,0.3933333333333333,0.15620499351813308,0.860625630039088,0.044062058308765736,0.759462962962963,0.12229925883079756
7,xgboost,0.7681746031746031,0.053147884782374116,0.8185141143756395,0.031900659731568685,0.89,0.06410831883000737,0.4,0.12649110640673517,0.8515195301081093,0.03606816229423261,0.7528888888888888,0.12244388429438767
8,naive_bayes,0.7536507936507937,0.08064460634242046,0.8600149664335414,0.06976693075843328,0.81375,0.11776344579990292,0.5733333333333334,0.2515728301881761,0.8290642278656175,0.06562247736846427,0.7980185185185185,0.10097277370066934
8,knn,0.7696825396825397,0.05784816051510286,0.8103766762716382,0.03892012656475341,0.9076388888888889,0.05412480576191875,0.3533333333333334,0.16069294390925268,0.8553374258292505,0.03642487790629233,0.6733935185185185,0.14374471429716815
8,decision_tree,0.7512698412698413,0.04915921962126464,0.8267972491584887,0.036316383442935286,0.8477777777777777,0.04970282054743343,0.45999999999999996,0.12454361128179602,0.8362981713198205,0.033273743000663575,0.6538888888888889,0.06767980168082317
8,random_forest,0.8014285714285714,0.052274784181519963,0.8319524143342519,0.03344300565207955,0.9234722222222222,0.05647998252412907,0.4333333333333333,0.12382783747337807,0.8743909120088199,0.03441424544158563,0.7609953703703705,0.13864541815785325
8,gradient_boosting,0.7913492063492062,0.049962760130409414,0.8263630772996411,0.03570701310221803,0.9163888888888889,0.04872526279629388,0.4133333333333334,0.13597385369580758,0.8682338425633512,0.031602426189164576,0.758898148148148,0.10983605167521027
8,xgboost,0.7797619047619049,0.050745574966540745,0.8296900523748286,0.024534823733794616,0.89,0.06637900902775042,0.44666666666666666,0.09451631252505216,0.8576234863675241,0.03606462416284348,0.7633240740740741,0.09335181741202979
9,naive_bayes,0.7335714285714285,0.06831673931583898,0.8597928920937337,0.06821722999133435,0.7827777777777778,0.10773911104785816,0.5866666666666667,0.2454927018602929,0.8124842879271632,0.05771832632394793,0.7946111111111112,0.09708150133385132
9,knn,0.7746825396825396,0.05564895776542387,0.8112634597392331,0.037143078976856286,0.9143055555555556,0.04784737340727607,0.3533333333333334,0.14922019523732927,0.8590281145379002,0.03455023170726091,0.6832083333333332,0.13589536953760672
9,decision_tree,0.7048412698412698,0.10002295654865785,0.8018483462714402,0.05904164401838395,0.8036111111111112,0.09529073446077577,0.40666666666666673,0.15333333333333332,0.8016700717695183,0.07345605929854593,0.605138888888889,0.11282027456025737
