n_neighbors,metric,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
100,euclidean,0.7809523809523811,0.03466718994895485,0.7790240326959169,0.03657381115339674,0.9933333333333334,0.014229164972072989,0.13999999999999999,0.16983652270475993,0.8724864755090644,0.017517102864711188,0.7853935185185186,0.10526877720165767
105,euclidean,0.7742857142857142,0.03594843876210908,0.7714030895818292,0.03409188217151434,0.9977777777777778,0.006666666666666676,0.1,0.15846485765339619,0.8695825479806063,0.0184832255996303,0.7856203703703704,0.105138634473003
110,euclidean,0.7676190476190476,0.02817583274759432,0.7643605546995378,0.023258736017219568,1.0,0.0,0.06666666666666668,0.10749676997731399,0.8662515262515262,0.014665332775005695,0.7862083333333333,0.10538949423298556
120,euclidean,0.7659523809523809,0.02449142568273209,0.7628995157384988,0.02007263283602478,1.0,0.0,0.06000000000000001,0.09165151389911681,0.8653604371426153,0.012730771728476335,0.7855555555555556,0.10720760470948217
130,euclidean,0.7642857142857142,0.021349058829961815,0.7614897413024087,0.017496323003940942,1.0,0.0,0.053333333333333344,0.07774602526460402,0.8644868203691732,0.011134963258755038,0.784611111111111,0.1094013028337798
140,euclidean,0.7545238095238095,0.010238095238095234,0.7537766830870278,0.008172738927604457,1.0,0.0,0.013333333333333332,0.039999999999999994,0.8595794129774712,0.00526563516857094,0.7887777777777778,0.10786671270225431
150,euclidean,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.7878333333333334,0.11076347004448847
1,chebyshev,0.7696825396825397,0.05832636822687197,0.829821416518745,0.03143774717847926,0.8744444444444444,0.08491826135237997,0.4533333333333333,0.12578641509408806,0.8491490385180478,0.042638511030885576,0.663888888888889,0.06020797289396147
3,chebyshev,0.7611904761904762,0.06582848944549567,0.8237939166144066,0.045341081158639614,0.8697222222222221,0.07267433275906501,0.4333333333333334,0.1527525231651947,0.8445663866801668,0.04626473335242059,0.6930185185185185,0.07567175387623229
5,chebyshev,0.7827777777777778,0.042196629670573894,0.8273539180202167,0.0328612007142866,0.9008333333333335,0.0585847755472864,0.42666666666666664,0.13063945294843615,0.8611417771872979,0.029142183849202197,0.728625,0.07087733458436933
7,chebyshev,0.7678571428571429,0.05028546626922964,0.8143533590220888,0.03153573933280048,0.89625,0.0579486322658394,0.38,0.11944315244779279,0.8523867475512548,0.03395408460540023,0.7304629629629629,0.10475823790413405
9,chebyshev,0.7728571428571429,0.027234598510150122,0.8138855348779852,0.029803303752851586,0.9073611111111111,0.03796547530078893,0.36666666666666664,0.1308094458023239,0.857113760233478,0.016816742411182972,0.7298101851851853,0.1031688515071109
11,chebyshev,0.7829365079365079,0.03689451982813234,0.8151664549375368,0.03243106981963504,0.9229166666666668,0.04951637246381553,0.36000000000000004,0.14666666666666667,0.8644286657798412,0.023155585639378785,0.7360787037037038,0.10639497704028743
13,chebyshev,0.7762698412698412,0.041235409934932035,0.8113575394129574,0.03455720079459057,0.9184722222222224,0.05229328055647326,0.3466666666666667,0.15434449203720302,0.8602367386790093,0.025966926808809316,0.736162037037037,0.10322364592318416
15,chebyshev,0.7861904761904761,0.03956681538636379,0.8135148149929785,0.03398682318973705,0.9316666666666666,0.05188127472091126,0.3466666666666667,0.15434449203720302,0.8672531479942058,0.025332992442682552,0.726712962962963,0.11491718293393076
17,chebyshev,0.7846031746031745,0.043445694201741124,0.8108182972064373,0.03623031288745305,0.9340277777777779,0.04910954780065873,0.33333333333333337,0.16055459438389727,0.8668402576005093,0.02645403463714891,0.7325925925925927,0.11218835817138369
19,chebyshev,0.7845238095238095,0.04521616009555487,0.8122358651317905,0.03874639378641045,0.9316666666666666,0.04792290619601032,0.33999999999999997,0.16983652270475996,0.8665858145071044,0.027041373349532577,0.733101851851852,0.11597367116711471
21,chebyshev,0.7961904761904761,0.046158555489724334,0.8188228162996631,0.041749838192218544,0.9405555555555557,0.043036734237476254,0.36,0.18666666666666665,0.8741795644659367,0.026377730627174748,0.7402731481481482,0.11804314105023421
25,chebyshev,0.8027777777777778,0.04549114687985394,0.8195058203114203,0.03860574820654481,0.9493055555555555,0.03433253549953981,0.36,0.16918103387266029,0.878813465345217,0.025874916732719626,0.7384398148148148,0.12293393031099192
31,chebyshev,0.8128571428571428,0.052512821023842235,0.8286342738539064,0.04544878058282436,0.9516666666666668,0.045950187737227144,0.3933333333333333,0.19652537297311565,0.8845390140449382,0.030606120584828936,0.7420787037037035,0.12453022914408776
35,chebyshev,0.8178571428571428,0.05596251174749429,0.8310577817185909,0.04765435744945856,0.9561111111111111,0.04820545023230014,0.4000000000000001,0.20439612955674522,0.8877730831924934,0.03288530077883355,0.7435972222222222,0.12879996075743955
40,chebyshev,0.8096031746031744,0.059199593214267036,0.8286603016217772,0.05170508124287824,0.9472222222222222,0.045355250693079614,0.3933333333333333,0.22,0.882505116834308,0.034200693664520915,0.7515138888888888,0.13025610201959903
45,chebyshev,0.8162698412698413,0.04998771580013021,0.8274858468323651,0.04760807096614519,0.9605555555555556,0.043634989924131,0.38,0.210923893594085,0.8875053912604995,0.028097715487060162,0.7507824074074075,0.13018338806317153
50,chebyshev,0.8146031746031746,0.05744760010104525,0.8297463509678009,0.050944348593883304,0.953888888888889,0.04661703710177372,0.3933333333333333,0.22,0.8859214278918441,0.03312332132557502,0.7601435185185185,0.12961589948781088
52,chebyshev,0.8112698412698413,0.057230752506863734,0.8281063630487431,0.051622982324046544,0.9516666666666668,0.05006477285958142,0.38666666666666666,0.22469732728470287,0.8837988639500567,0.03307257914533544,0.762912037037037,0.12709796085620959
55,chebyshev,0.8112698412698413,0.052681676439744106,0.8236261844981259,0.05283603476984627,0.9605555555555556,0.042488197344442,0.36,0.2351358945139786,0.8850143884435058,0.029188088301151233,0.7630555555555556,0.12875683022888476
60,chebyshev,0.8145238095238094,0.04905513118616249,0.825618269822403,0.05208552934493773,0.9626388888888888,0.04076075371248523,0.36666666666666664,0.2352303835250313,0.8870112774518984,0.026677407935373147,0.7602685185185185,0.12906885617010397
70,chebyshev,0.8095238095238095,0.05626306852473116,0.8217304476565431,0.051938697404868735,0.9604166666666666,0.043987450861959855,0.35333333333333333,0.232952069462082,0.8839929831757758,0.031582781714761136,0.7652824074074074,0.12531106434478248
80,chebyshev,0.8078571428571427,0.05577784327538592,0.8174275244731503,0.050529211726381744,0.9648611111111112,0.040919457549836113,0.33333333333333337,0.22509257354845508,0.8835800830088015,0.03127490093605371,0.7642129629629629,0.12516683824847274
90,chebyshev,0.8027777777777777,0.040994579587496145,0.8091255309207481,0.04344798285439629,0.9713888888888889,0.03845090665019777,0.29333333333333333,0.2048305532764962,0.8813757613841915,0.021914289986247427,0.7656388888888889,0.12370520381935848
100,chebyshev,0.8045238095238094,0.04065018624463308,0.8059923971003566,0.042872465886850834,0.9802777777777777,0.03192511492481997,0.2733333333333333,0.2031966753883756,0.8833675006582024,0.021327741665594285,0.7619814814814815,0.12374129086312247
105,chebyshev,0.7995238095238095,0.037718373996786375,0.8010192848556569,0.038075692107056205,0.9802777777777777,0.02688710967483612,0.2533333333333333,0.18571184369578825,0.8806645771974756,0.019362691014292634,0.7639305555555554,0.12219790802275289
110,chebyshev,0.8011904761904762,0.03806918752152129,0.8013764277127997,0.038081205705752436,0.9824999999999999,0.027499999999999993,0.2533333333333333,0.18571184369578825,0.8817734880885647,0.019608851057873147,0.7639259259259259,0.12027862030326758
120,chebyshev,0.7911904761904762,0.03779719722299304,0.7904362968780295,0.037192298631460445,0.9869444444444445,0.019955583395179766,0.19999999999999998,0.17638342073763938,0.8770647098701465,0.01954833382083364,0.7675648148148149,0.12161923401744643
130,chebyshev,0.7844444444444444,0.03208784239598589,0.7833709495295789,0.03127330229951296,0.9890277777777777,0.017834652945291976,0.16666666666666666,0.15563490039905004,0.8736773983097512,0.016153024222996387,0.770875,0.12134475009386658
140,chebyshev,0.7761111111111111,0.025945098730745828,0.7737841786856923,0.021069030217050158,0.9933333333333334,0.014229164972072989,0.12,0.10666666666666666,0.8697004922858156,0.013771177943039453,0.7709259259259259,0.122672263470459
150,chebyshev,0.7695238095238095,0.027782765992028252,0.7675232026988462,0.02071061417793545,0.9955555555555555,0.013333333333333319,0.08666666666666666,0.10349449797506681,0.866633927090809,0.014967051065218194,0.7743425925925925,0.12166096194134676
