n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
5,25,0.7661904761904761,0.01977194237335877,0.7655870247929182,0.015020052369618014,0.9934722222222222,0.014082675855790299,0.08,0.07774602526460402,0.8646318803691744,0.010557790662279437,0.7619398148148149,0.12123664501918366
10,25,0.7879365079365079,0.036227007460442086,0.7937716444761878,0.026514482786975036,0.9715277777777779,0.032579733627055275,0.23333333333333334,0.12736648783028537,0.873219027684164,0.02096951063888168,0.7867314814814815,0.12046171783169525
25,25,0.8177777777777777,0.047258156262526094,0.827694824668509,0.049401289519732314,0.962638888888889,0.036947838189988605,0.38,0.2045048220023729,0.8886481699016568,0.026853069209745627,0.796861111111111,0.1022311661579736
50,25,0.8195238095238094,0.06135100307436946,0.828318011741359,0.04992404691144575,0.9627777777777778,0.04388888888888888,0.3866666666666667,0.19955506062794354,0.889500746544505,0.03718999011656721,0.8076666666666666,0.10468923900138263
75,25,0.812936507936508,0.06356548334366323,0.8247870023477983,0.05189033197696857,0.9584722222222222,0.046107973454158485,0.3733333333333334,0.20912516188477498,0.885499346728974,0.03838207310833534,0.8084351851851853,0.10570198136687603
100,25,0.8161904761904761,0.06141565017296323,0.8280624978352569,0.051774345192214084,0.9584722222222222,0.046107973454158485,0.38666666666666666,0.21039645117412667,0.8872691524530495,0.036983149002077,0.8104722222222221,0.10182173334145532
150,25,0.8211904761904762,0.05677910014390793,0.8329372839785558,0.050202306020976604,0.9584722222222222,0.04502421330740401,0.4066666666666666,0.2053722906766582,0.889971512440962,0.03408749974354544,0.8118611111111111,0.10018255327890924
200,25,0.8245238095238095,0.057390831001068426,0.8356882311142446,0.04812933379773465,0.9584722222222222,0.04502421330740401,0.42000000000000004,0.19561867668161614,0.891737882219114,0.034816802797232795,0.8127407407407409,0.09994500545413133
250,25,0.8245238095238095,0.057390831001068426,0.8356882311142446,0.04812933379773465,0.9584722222222222,0.04502421330740401,0.42000000000000004,0.19561867668161614,0.891737882219114,0.034816802797232795,0.8127407407407409,0.09994500545413133
300,25,0.8245238095238095,0.057390831001068426,0.8356882311142446,0.04812933379773465,0.9584722222222222,0.04502421330740401,0.42000000000000004,0.19561867668161614,0.891737882219114,0.034816802797232795,0.8127407407407409,0.09994500545413133
