max_depth,min_samples_leaf,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
5,0.005,0.7495238095238095,0.0665628443269814,0.8132724757597559,0.060988701982153164,0.8723611111111111,0.0386722637232614,0.38,0.23673707872752936,0.8403717808613633,0.039380302514610215,0.6749675925925925,0.15858329042133454
7,0.005,0.7326190476190476,0.09572524220635252,0.8099023400747832,0.06689242665525472,0.8454166666666667,0.08319908167376623,0.3933333333333333,0.23560796062763056,0.8253781489279468,0.06515980899973052,0.6575231481481482,0.14484408338603622
10,0.005,0.7260317460317459,0.07400792586918517,0.8169680388624487,0.06537989415765601,0.8255555555555556,0.05489608589793612,0.42666666666666664,0.23132468763863295,0.8193846940435829,0.046183813657710765,0.6488055555555556,0.13017923469093987
25,0.005,0.7243650793650793,0.0765945386826572,0.8224617980474521,0.0699572334348496,0.8166666666666668,0.07324068221189775,0.4466666666666666,0.2459448899426229,0.8160912138426957,0.05094612373634314,0.6390277777777779,0.12740100954274378
30,0.005,0.7243650793650793,0.0765945386826572,0.8224617980474521,0.0699572334348496,0.8166666666666668,0.07324068221189775,0.4466666666666666,0.2459448899426229,0.8160912138426957,0.05094612373634314,0.6390277777777779,0.12740100954274378
40,0.005,0.7243650793650793,0.0765945386826572,0.8224617980474521,0.0699572334348496,0.8166666666666668,0.07324068221189775,0.4466666666666666,0.2459448899426229,0.8160912138426957,0.05094612373634314,0.6390277777777779,0.12740100954274378
50,0.005,0.7243650793650793,0.0765945386826572,0.8224617980474521,0.0699572334348496,0.8166666666666668,0.07324068221189775,0.4466666666666666,0.2459448899426229,0.8160912138426957,0.05094612373634314,0.6390277777777779,0.12740100954274378
2,0.01,0.7765079365079365,0.06609848580832003,0.7967505553413179,0.04828029106764742,0.9477777777777778,0.05753152651555384,0.26,0.20537229067665816,0.8644463170769271,0.040723819497461955,0.7139814814814816,0.09069489582630193
3,0.01,0.7453968253968254,0.06862376750342643,0.804386948304951,0.054287363123784495,0.8825,0.09917911530952596,0.33333333333333337,0.24404006956964167,0.8371847020010245,0.052470918822920834,0.6900740740740741,0.10041188153481029
4,0.01,0.7528571428571428,0.07586836673011212,0.8077037214281859,0.06390623334696688,0.887638888888889,0.052309508908249404,0.3466666666666667,0.24549270186029293,0.84426820030406,0.04673174282086126,0.6956111111111112,0.11054758486063147
