feature,f_score,p_value
app_LT_entropy_log_2_coef,15.260835265504275,0.00010426885528873632
tqwt_maxValue_dec_5,15.237586514701102,0.00010552793979544593
tqwt_energy_dec_6,15.179630501289873,0.00010873391261283421
det_LT_entropy_log_1_coef,14.810687820780077,0.00013158148879901613
tqwt_minValue_dec_34,14.661107100466348,0.00014217422393215498
tqwt_minValue_dec_33,14.562032646867467,0.0001496605562774442
tqwt_entropy_shannon_dec_20,14.526385267733517,0.00015245053063366975
tqwt_entropy_log_dec_29,14.397836855932864,0.00016295517431508293
IMF_SNR_SEO,14.306181015685777,0.00017088897072059262
locShimmer,14.085967062824524,0.00019158420282080335
GQ_std_cycle_closed,13.986653370889822,0.00020172916208488706
tqwt_energy_dec_28,13.915058515731879,0.00020937789098326006
tqwt_minValue_dec_5,13.90435433959183,0.00021054637945490252
tqwt_energy_dec_35,13.838896208729935,0.00021783670722530916
mean_delta_log_energy,13.633151173269045,0.00024245575028970662
GNE_SNR_TKEO,13.588212124631383,0.0002481970263035178
mean_MFCC_9th_coef,13.368899403380729,0.0002782512990851414
GQ_prc5_95,13.288143544667024,0.0002902230445448165
tqwt_meanValue_dec_7,13.188729887798917,0.00030567878536144144
tqwt_maxValue_dec_34,13.11258369004228,0.00031807812415145736
tqwt_maxValue_dec_27,13.080499664448823,0.0003234537514461703
tqwt_maxValue_dec_17,12.918859102062099,0.00035196734697966154
tqwt_kurtosisValue_dec_23,12.715601777888498,0.0003914626346959422
tqwt_minValue_dec_27,12.678273132808126,0.0003991895230162788
tqwt_energy_dec_33,12.631599066098639,0.00040906842245495346
tqwt_minValue_dec_17,12.541523454235406,0.00042883873064712106
std_1st_delta,12.4482734850176,0.0004503256962565202
tqwt_energy_dec_34,12.285533454396218,0.0004904700735815392
tqwt_entropy_log_dec_3,12.22539875717984,0.0005062046359852524
tqwt_stdValue_dec_26,12.2037609258036,0.0005119905006408737
tqwt_maxValue_dec_33,12.104587677512207,0.0005393779729456158
tqwt_stdValue_dec_28,12.059932711073643,0.0005521897049498401
