k,model,class,precision,recall,f1_score,support
5,decision_tree,Healthy,0.38620689655172413,0.37333333333333335,0.37966101694915255,150.0
5,decision_tree,PD,0.7947598253275109,0.8035320088300221,0.7991218441273326,453.0
5,random_forest,Healthy,0.6237623762376238,0.42,0.50199203187251,150.0
5,random_forest,PD,0.8266932270916335,0.9161147902869757,0.8691099476439791,453.0
5,gradient_boosting,Healthy,0.6138613861386139,0.41333333333333333,0.4940239043824701,150.0
5,gradient_boosting,PD,0.8247011952191236,0.9139072847682119,0.8670157068062827,453.0
5,xgboost,Healthy,0.5765765765765766,0.4266666666666667,0.4904214559386973,150.0
5,xgboost,PD,0.8252032520325203,0.8962472406181016,0.8592592592592593,453.0
6,naive_bayes,Healthy,0.5859375,0.5,0.539568345323741,150.0
6,naive_bayes,PD,0.8421052631578947,0.8830022075055187,0.8620689655172413,453.0
6,knn,Healthy,0.5918367346938775,0.38666666666666666,0.46774193548387094,150.0
6,knn,PD,0.8178217821782178,0.9116997792494481,0.8622129436325678,453.0
6,decision_tree,Healthy,0.4117647058823529,0.42,0.4158415841584158,150.0
6,decision_tree,PD,0.8066666666666666,0.8013245033112583,0.8039867109634552,453.0
6,random_forest,Healthy,0.6,0.4,0.48,150.0
6,random_forest,PD,0.8210735586481114,0.9116997792494481,0.8640167364016736,453.0
6,gradient_boosting,Healthy,0.58,0.38666666666666666,0.464,150.0
6,gradient_boosting,PD,0.8170974155069582,0.9072847682119205,0.8598326359832636,453.0
6,xgboost,Healthy,0.5258620689655172,0.4066666666666667,0.45864661654135336,150.0
6,xgboost,PD,0.8172484599589322,0.8785871964679912,0.8468085106382979,453.0
7,naive_bayes,Healthy,0.5231788079470199,0.5266666666666666,0.5249169435215947,150.0
7,naive_bayes,PD,0.8429203539823009,0.8410596026490066,0.8419889502762431,453.0
7,knn,Healthy,0.5729166666666666,0.36666666666666664,0.44715447154471544,150.0
7,knn,PD,0.8126232741617357,0.9094922737306843,0.8583333333333333,453.0
7,decision_tree,Healthy,0.4444444444444444,0.4266666666666667,0.43537414965986393,150.0
7,decision_tree,PD,0.8126361655773421,0.8233995584988962,0.8179824561403509,453.0
7,random_forest,Healthy,0.6428571428571429,0.42,0.5080645161290323,150.0
7,random_forest,PD,0.8277227722772277,0.9227373068432672,0.872651356993737,453.0
7,gradient_boosting,Healthy,0.5841584158415841,0.3933333333333333,0.4701195219123506,150.0
7,gradient_boosting,PD,0.8187250996015937,0.9072847682119205,0.8607329842931937,453.0
7,xgboost,Healthy,0.5454545454545454,0.4,0.46153846153846156,150.0
7,xgboost,PD,0.8174442190669371,0.8896247240618101,0.8520084566596194,453.0
8,naive_bayes,Healthy,0.5029239766081871,0.5733333333333334,0.5358255451713395,150.0
8,naive_bayes,PD,0.8518518518518519,0.8123620309050773,0.831638418079096,453.0
8,knn,Healthy,0.5578947368421052,0.35333333333333333,0.4326530612244898,150.0
8,knn,PD,0.8090551181102362,0.9072847682119205,0.8553590010405827,453.0
8,decision_tree,Healthy,0.5,0.46,0.4791666666666667,150.0
8,decision_tree,PD,0.8258064516129032,0.847682119205298,0.8366013071895425,453.0
8,random_forest,Healthy,0.65,0.43333333333333335,0.52,150.0
8,random_forest,PD,0.831013916500994,0.9227373068432672,0.8744769874476988,453.0
8,gradient_boosting,Healthy,0.62,0.41333333333333333,0.496,150.0
8,gradient_boosting,PD,0.8250497017892644,0.9161147902869757,0.8682008368200836,453.0
8,xgboost,Healthy,0.5726495726495726,0.44666666666666666,0.50187265917603,150.0
8,xgboost,PD,0.8292181069958847,0.8896247240618101,0.858359957401491,453.0
9,naive_bayes,Healthy,0.47058823529411764,0.5866666666666667,0.5222551928783383,150.0
9,naive_bayes,PD,0.8509615384615384,0.7814569536423841,0.8147295742232451,453.0
9,knn,Healthy,0.5760869565217391,0.35333333333333333,0.4380165289256198,150.0
9,knn,PD,0.8101761252446184,0.9139072847682119,0.8589211618257261,453.0
